registry_index,strategy_id,strategy_name,version,strategy_generation,parent_strategy_id,stage_origin,side_family,side_detail,horizon_rule,sample_scope,trades,wins,losses,win_rate,pnl_5_shares,turnover_5_shares,roi,source_label,source_rule_id,overlay_regime,overlay_threshold_pp,overlay_definition,parent_full_trades,parent_full_roi,comparable_baseline_trades,comparable_baseline_roi,retention_vs_comparable,retention_vs_parent_full,evidence_class,research_status,robustness_status,live_status,criterion_roi_improved,criterion_retention_at_least_half,criterion_drawdown_not_worse,criterion_temporal_stability,criterion_not_one_month,criterion_stress5_not_lower,criterion_top_winner_positive,max_drawdown_5_shares,positive_blocks,blocks_with_trades,largest_month_pnl_share,provenance_artifact,provenance_sha256,notes
1,NO_C1,NO C1 — favorite-switch fade,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,"T−30, смена фаворита",Confirmation 136,6,6,0,1.0,8.424999999999999,21.575000000000006,0.3904982618771725,NO successful candidates freeze / confirmation,NO_CONFIRMATION_FREEZE,BASELINE,,Frozen original strategy; no volatility overlay.,6,0.3904982618771725,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
12,NO_FADE_P2_U2_T60,NO Fade P2 U2 — isolated T−60m,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−60m only,Historical scan 170,49,44,5,0.8979591836734694,18.797499999999992,201.20250000000007,0.0934257775127048,Early Horizon V1,EARLY_HORIZON_FULL,BASELINE,,Frozen original strategy; no volatility overlay.,49,0.0934257775127048,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
13,NO_FADE_P2_U1_T60,NO Fade P2 U1 — isolated T−60m,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−60m only,Historical scan 170,51,46,5,0.9019607843137255,18.9225,211.07750000000004,0.089647167509564,Early Horizon V1,EARLY_HORIZON_FULL,BASELINE,,Frozen original strategy; no volatility overlay.,51,0.089647167509564,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
14,YES_PF1_T6H,YES PF1 — isolated T−6h,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,YES,YES,T−6h only,OOS 136,118,61,57,0.5169491525423728,23.539999999999992,281.46000000000004,0.0836353300646628,Early Confidence V2 / robustness,EARLY_CONFIDENCE_V2,BASELINE,,Frozen original strategy; no volatility overlay.,118,0.0836353300646628,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
15,NO_FADE_P1_U2_OPERATIONAL,NO Fade P1 U2 — operational late,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−60 primary → T−30 fallback,Historical 170,31,28,3,0.9032258064516129,10.537499999999994,129.4625,0.08139422612725689,Early Horizon V1 reproduction,EARLY_HORIZON_FULL,BASELINE,,Frozen original strategy; no volatility overlay.,31,0.08139422612725689,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
16,NO_FADE_P2_U2_T12,NO Fade P2 U2 — isolated T−12h,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−12h only,Historical scan 170,38,35,3,0.9210526315789473,12.597499999999997,162.40250000000017,0.0775696186942934,Early Horizon V1,EARLY_HORIZON_FULL,BASELINE,,Frozen original strategy; no volatility overlay.,38,0.0775696186942934,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
17,NO_FADE_P1_U1_OPERATIONAL,NO Fade P1 U1 — operational late,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−60 primary → T−30 fallback,Historical 170,37,33,4,0.8918918918918919,11.524999999999993,153.475,0.0750936634631047,Early Horizon V1 reproduction,EARLY_HORIZON_FULL,BASELINE,,Frozen original strategy; no volatility overlay.,37,0.0750936634631047,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
18,NO_FADE_P1_U1_EARLY_LATEST_ONLY,NO Fade P1 U1 — early-zone latest-only,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,One trade/market across T−18h and T−12h,OOS 136,38,34,4,0.8947368421052632,11.782499999999995,158.2175,0.07447027035568123,Baseline robustness audit,BASELINE_ROBUSTNESS_DERIVED,BASELINE,,Frozen original strategy; no volatility overlay.,38,0.07447027035568123,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
19,NO_FADE_P1_U1_T18,NO Fade P1 U1 — isolated T−18h,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−18h only,OOS 136,19,16,3,0.8421052631578947,5.382499999999998,74.6175,0.0721345528863872,Early Confidence V2 / robustness,EARLY_CONFIDENCE_V2,BASELINE,,Frozen original strategy; no volatility overlay.,19,0.0721345528863872,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
20,NO_FADE_P2_U2_OPERATIONAL,NO Fade P2 U2 — operational late,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−60 primary → T−30 fallback,Historical 170,68,61,7,0.8970588235294118,19.942499999999992,285.0575,0.06995956956052723,Early Horizon V1 reproduction,EARLY_HORIZON_FULL,BASELINE,,Frozen original strategy; no volatility overlay.,68,0.06995956956052723,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
21,NO_FADE_P1_U1_EARLY_COMBINED,NO Fade P1 U1 — T18+T12 independent counting,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−18h and T−12h,OOS 136,41,36,5,0.8780487804878049,10.412499999999994,169.5875,0.06139898282597476,Baseline robustness audit,BASELINE_ROBUSTNESS_DERIVED,BASELINE,,Frozen original strategy; no volatility overlay.,41,0.06139898282597476,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
22,NO_FADE_P1_U2_T12,NO Fade P1 U2 — isolated T−12h,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−12h only,OOS 136,12,11,1,0.9166666666666666,3.1124999999999994,51.88750000000008,0.0599855456516501,Early Confidence V2 / robustness,EARLY_CONFIDENCE_V2,BASELINE,,Frozen original strategy; no volatility overlay.,12,0.0599855456516501,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
23,NO_FADE_P2_U1_OPERATIONAL,NO Fade P2 U1 — operational late,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−60 primary → T−30 fallback,Historical 170,82,73,9,0.8902439024390244,20.52249999999999,344.4775,0.059575734264211706,Early Horizon V1 reproduction,EARLY_HORIZON_FULL,BASELINE,,Frozen original strategy; no volatility overlay.,82,0.059575734264211706,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
24,NO_FADE_P1_U1_T12,NO Fade P1 U1 — isolated T−12h,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−12h only,OOS 136,22,20,2,0.9090909090909091,5.029999999999998,94.9700000000001,0.0529640939243971,Early Confidence V2 / robustness,EARLY_CONFIDENCE_V2,BASELINE,,Frozen original strategy; no volatility overlay.,22,0.0529640939243971,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
25,YES_FAVORITE_ONLY,YES favorite-only control,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,YES,YES,T−60 primary → T−30 fallback,Historical 170,82,73,9,0.8902439024390244,18.3400001049,346.6599998949654,0.0529048638737,Favorite+Neighbor Basket audit,FAVORITE_BASKET,BASELINE,,Frozen original strategy; no volatility overlay.,82,0.0529048638737,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
26,NO_FADE_P1_U1_EARLY_EARLIEST_ONLY,NO Fade P1 U1 — early-zone earliest-only,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,One trade/market across T−18h and T−12h,OOS 136,38,33,5,0.868421052631579,8.217499999999996,156.7825,0.052413375217259556,Baseline robustness audit,BASELINE_ROBUSTNESS_DERIVED,BASELINE,,Frozen original strategy; no volatility overlay.,38,0.052413375217259556,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
27,NO_FADE_P2_U2_T30,NO Fade P2 U2 — isolated T−30m,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−30m only,Historical scan 170,40,37,3,0.925,8.609999999999996,176.39000000000016,0.0488122909461987,Early Horizon V1,EARLY_HORIZON_FULL,BASELINE,,Frozen original strategy; no volatility overlay.,40,0.0488122909461987,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
28,YES_PF1_T30,YES PF1 — isolated T−30m,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,YES,YES,T−30m only,OOS 136,69,49,20,0.7101449275362319,11.217499999999994,233.7825000000004,0.0479826334306459,Early Confidence V2 / robustness,EARLY_CONFIDENCE_V2,BASELINE,,Frozen original strategy; no volatility overlay.,69,0.0479826334306459,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
29,NO_FADE_P2_U1_T30,NO Fade P2 U1 — isolated T−30m,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−30m only,Historical scan 170,53,48,5,0.9056603773584906,9.434999999999992,230.565,0.0409212152755188,Early Horizon V1,EARLY_HORIZON_FULL,BASELINE,,Frozen original strategy; no volatility overlay.,53,0.0409212152755188,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
30,NO_FADE_P2_U1_T12,NO Fade P2 U1 — isolated T−12h,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−12h only,Historical scan 170,67,60,7,0.8955223880597015,11.632499999999991,288.36750000000023,0.0403391505630835,Early Horizon V1,EARLY_HORIZON_FULL,BASELINE,,Frozen original strategy; no volatility overlay.,67,0.0403391505630835,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
31,NO_B2,NO B2 — tail premium fade,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−60 primary → T−30 fallback,Confirmation 136,2,2,0,1.0,0.3499999999999997,9.650000000000011,0.0362694300518134,NO successful candidates freeze / confirmation,NO_CONFIRMATION_FREEZE,BASELINE,,Frozen original strategy; no volatility overlay.,2,0.0362694300518134,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
32,NO_FADE_P2_U2_T4H,NO Fade P2 U2 — isolated T−4h,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−4h only,Historical scan 170,42,38,4,0.9047619047619048,6.387499999999994,183.6125,0.0347879365511607,Early Horizon V1,EARLY_HORIZON_FULL,BASELINE,,Frozen original strategy; no volatility overlay.,42,0.0347879365511607,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
33,YES_PF1_T8H,YES PF1 — isolated T−8h,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,YES,YES,T−8h only,Historical scan 170,154,68,86,0.44155844155844154,1.87749999999999,338.1225000000016,0.0055527212770519,Early Horizon V1,EARLY_HORIZON_FULL,BASELINE,,Frozen original strategy; no volatility overlay.,154,0.0055527212770519,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
34,NO_FADE_P2_U1_T2H,NO Fade P2 U1 — isolated T−2h,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−2h only,Historical scan 170,53,44,9,0.8301886792452831,0.6824999999999944,219.31750000000144,0.0031119267728293,Early Horizon V1,EARLY_HORIZON_FULL,BASELINE,,Frozen original strategy; no volatility overlay.,53,0.0031119267728293,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
